id_alerta,id_siniestro,codigo,categoria,severidad,puntos,descripcion,evidencia,es_critica
ALT000001,SIN00001,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000002,SIN00002,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000003,SIN00002,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,56 horas hasta la denuncia.,False
ALT000004,SIN00002,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,3 siniestros del conductor.,False
ALT000005,SIN00003,RF-12,Reporte,Media,5,Reporte tardio frente a la ocurrencia.,Reporte despues de 8 dias.,False
ALT000006,SIN00003,RF-08,Frecuencia,Alta,8,Asegurado con alta frecuencia historica de reclamos.,7 siniestros previos.,False
ALT000007,SIN00003,RF-09,Proveedor,Media,5,Proveedor con alta concentracion de reclamos.,60 reclamos asociados.,False
ALT000008,SIN00003,RF-02,Documentos,Critica,10,Evidencia simulada de adulteracion documental.,Al menos un documento fue marcado como adulterado.,True
ALT000009,SIN00003,RF-10,Documentos,Media,4,Documentos obligatorios incompletos o ilegibles.,2 documento(s) faltantes o ilegibles.,False
ALT000010,SIN00003,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000011,SIN00003,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,202 horas hasta la denuncia.,False
ALT000012,SIN00003,RF-15,Frecuencia,Baja,3,Vehiculo con reincidencia moderada.,2 siniestros del vehiculo.,False
ALT000013,SIN00003,RF-04,Dinamica,Critica,20,Dinamica fisicamente imposible segun datos simulados.,Flag de dinamica imposible activado.,True
ALT000014,SIN00003,RF-20,Tercero,Media,5,Danio relevante sin tercero identificado.,Tercero no identificado con monto relevante.,False
ALT000015,SIN00004,RF-08,Frecuencia,Alta,8,Asegurado con alta frecuencia historica de reclamos.,6 siniestros previos.,False
ALT000016,SIN00004,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,57 horas hasta la denuncia.,False
ALT000017,SIN00004,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,4 siniestros del vehiculo.,False
ALT000018,SIN00004,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,3 siniestros del conductor.,False
ALT000019,SIN00005,RF-15,Frecuencia,Baja,3,Vehiculo con reincidencia moderada.,2 siniestros del vehiculo.,False
ALT000020,SIN00005,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,3 siniestros del conductor.,False
ALT000021,SIN00006,RF-08,Frecuencia,Alta,8,Asegurado con alta frecuencia historica de reclamos.,7 siniestros previos.,False
ALT000022,SIN00006,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000023,SIN00006,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,75 horas hasta la denuncia.,False
ALT000024,SIN00006,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,4 siniestros del vehiculo.,False
